subject_id,type,info,ee,en
M1A,,,Moodul M1A Raadio- ja elektrotehnika teooria.,
,question,,Mida tähendab termin impedants?,What does the term impedance mean?
,,,,
,FALSE,,Kondensaatoris salvestatavat elektrilaengut.,The electrical charge stored in a capacitor.
,TRUE,,Vooluringi poolt vahelduvvoolule osutatavat takistust.,The resistance offered by a circuit to alternating current.
,FALSE,,Mahtuvust sisaldava vooluringi poolt vahelduvvoolule osutatavat takistust.,The resistance offered to alternating current by a circuit containing capacitance.
,FALSE,,Juhtivust,Conductivity
,,,,
,question,,Kuidas nimetatakse mahtuvust ja induktiivsust sisaldava vooluringi poolt vahelduvvoole osutatavat takistust?,What is the name given to the resistance offered to alternating current by a circuit containing capacitance and inductance?
,,,,
,FALSE,,Oom.,Oom
,FALSE,,Dzhaul.,Joule
,TRUE,,Impedants.,Impedance
,FALSE,,Juhtivuseks.,Conductivity
,,,,
,question,,Kuidas nimetatatkse induktiivsuse poolt vahelduvvoolule osutatavat takistust?,What is the name given to the resistance offered by an inductance to alternating current?
,,,,
,FALSE,,Takistus.,Resistance
,TRUE,,Reaktiivtakistus.,Reactance
,FALSE,,Näivjuhtivus.,Apparent conductivity
,FALSE,,Impedants.,Impedance
,,,,
,question,,Kuidas nimetatatkse mahtuvuse poolt vahelduvvoolule osutatavat takistust,What is the name given to the resistance offered by capacitance to alternating current?
,,,,
,FALSE,,Takistus.,Resistance
,TRUE,,Reaktiivtakistus.,Reactance
,FALSE,,Näivjuhtivus.,Apparent conductivity
,FALSE,,Impedants.,Impedance
,,,,
,question,,Kuidas reageerib induktiivsus vahelduvvoolule?,How does inductance respond to alternating current?
,,,,
,FALSE,,Vahelduvvoolu sageduse suurenedes reaktiivtakustus väheneb.,"As the frequency of the alternating current increases, the reactance decreases."
,FALSE,,Vahelduvvoolu amplituude suurenedes suureneb ka reaktiivtakistus.,"As the amplitude of the alternating current increases, the reactance also increases."
,TRUE,,Vahelduvvoolu sageduse suurenedes reaktiivsus suureneb.,"As the frequency of the alternating current increases, reactance increases."
,FALSE,,Vahelduvvoolu amplituude suurenedes väheneb reaktiivtakistus.,"As the amplitude of the alternating current increases, the reactance decreases."
,,,,
,question,,Kuidas reageerib mahtuvus vahelduvvoolule?,How does capacitance respond to alternating current?
,,,,
,TRUE,,Vahelduvvoolu sageduse suurenedes reaktiivtakustus väheneb.,"As the frequency of the alternating current increases, reactance decreases."
,FALSE,,Vahelduvvoolu amplituude suurenedes suureneb ka reaktiivtakistus.,"As the amplitude of the alternating current increases, reactance also increases."
,FALSE,,Vahelduvvoolu sageduse suurenedes reaktiivsus suureneb.,"As the frequency of the alternating current increases, reactance increases."
,FALSE,,Vahelduvvoolu amplituude suurenedes reaktiivtakistus väheneb.,"As the amplitude of the alternating current increases, the reactance decreases."
,,,,
,question,,Millal annab toiteallikas maksimaalse väljundenergia?,When does a power supply provide maximum output power?
,,,,
,TRUE,,Juhul kui koormusimpedants on võrdne vooluallika impedantsiga.,In the case where the load impedance is equal to the current source impedance.
,FALSE,,Kui seisulainetegur on saavutanud maksimaalväärtuse.,When the standing wave factor has reached its maximum value.
,FALSE,,Kui raudsüdamikuga transformaatori asemel kasutatakse õhksüdamikuga transformaatorit.,If an air-core transformer is used instead of an iron-core transformer.
,FALSE,,Kui kasutatakse toroidtransformaatorit.,If a toroidal transformer is used.
,,,,
,question,,Mida tähendab termin impedantside sobitamine?,What does the term impedance matching mean?
,,,,
,FALSE,,Koormusimpedantsi toiteallika impedantsist palju suuremaks tegemine.,Making the load impedance much larger than the power source impedance.
,TRUE,,Koormusimpedantsi võrdsustamine toiteallika impedantsiga.,Matching the load impedance to the power source impedance.
,FALSE,,Baluni kasutamine antenni toitepunktis.,Using a balun at the antenna feed point.
,FALSE,,Saatja väljundimpedantsiga võrdse takistusega toitekaabli kasutamine.,Using a power cable with a resistance equal to the transmitter output impedance.
,,,,
,question,,Mis juhtub kui elektrilise koormuse impedants on võrdne toiteallika impedantsiga?,What happens when the impedance of an electrical load is equal to the impedance of the power source?
,,,,
,FALSE,,Toiteallikas juhib koormusesse minimaalse võimsuse.,The power supply delivers minimal power to the load.
,FALSE,,Vool katkeb vooluahelas.,The current is interrupted in the circuit.
,TRUE,,Toiteallikas juhib koormusesse maksimaalse võimsuse.,The power supply delivers maximum power to the load.
,FALSE,,Väljundvõimsus langeb poole võrra.,The output power is halved.
,,,,
,question,,Miks on impedantside sobitamine raadiotehnikas väga oluline?,Why is impedance matching very important in radio engineering?
,,,,
,TRUE,,Võimaldab toiteallikast juhtida koormusesse maksimaalse võimsuse.,Allows maximum power to be delivered from the power source to the load.
,FALSE,,Kindlustab vooluringi aktiiv- ja reaktiivtakistuse võrdsuse.,Ensures equality of active and reactive resistance in the circuit.
,FALSE,,Kindlustab minimaalse võimsuse saamise toitallikast.,Ensures minimum power is obtained from the power source.
,FALSE,,Vähendab elektrivõrgust tarbitavat võimsust.,Reduces power consumption from the electrical grid.
,,,,
,question,,Milline on reaktiivtakistuse mõõtühik?,What is the unit of measurement for reactance?
,,,,
,TRUE,,Oom.,Oom
,FALSE,,Volt.,Volt
,FALSE,,Amper.,Amp
,FALSE,,Siimens.,Siemens
,,,,
,question,,Milline on impedantsi mõõtühik?,What is the unit of measurement for impedance?
,,,,
,TRUE,,Oom.,Oom
,FALSE,,Volt.,Volt
,FALSE,,Amper.,Amp
,FALSE,,Siimens.,Siemens
,,,,
,question,,Mis on Bell?,What is a Bell?
,,,,
,FALSE,,Mahtuvuse muutumise mõõtühik.,A unit of measurement for change in capacitance.
,FALSE,,Induktiivsuse muutumise mõõtühik.,A unit of measurement for change in inductance.
,TRUE,,Erinevate võimsuste suhte suurust väljendav ühik.,A unit expressing the size of the ratio of different powers.
